HCPCS Code,Short Descriptor,SI,APC ,Relative Weight,Payment Rate ,National Unadjusted Copayment ,Minimum Unadjusted Copayment ,Column1,Column2,Column3
62180,Establish brain cavity shunt,C,,,,,,,,
62190,Establish brain cavity shunt,C,,,,,,,,
62192,Establish brain cavity shunt,C,,,,,,,,
62194,Replace/irrigate catheter,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
62200,Establish brain cavity shunt,C,,,,,,,,
62201,Brain cavity shunt w/scope,C,,,,,,,,
62220,Establish brain cavity shunt,C,,,,,,,,
62223,Establish brain cavity shunt,C,,,,,,,,
62225,Replace/irrigate catheter,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
62230,Replace/revise brain shunt,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
62252,Csf shunt reprogram,S,5743,3.3531,$270.91,.,$54.19,,,
62256,Remove brain cavity shunt,C,,,,,,,,
62258,Replace brain cavity shunt,C,,,,,,,,
62263,Epidural lysis mult sessions,T,5443,10.0510,$812.05,.,$162.41,,,
62264,Epidural lysis on single day,T,5443,10.0510,$812.05,.,$162.41,,,
62267,Interdiscal perq aspir dx,T,5071,7.5503,$610.01,.,$122.01,,,
62268,Drain spinal cord cyst,T,5443,10.0510,$812.05,.,$162.41,,,
62269,Needle biopsy spinal cord,J1,5072,16.9891,"$1,372.60",.,$274.52,,,
62270,Dx lmbr spi pnxr,T,5442,7.7364,$625.05,.,$125.01,,,
62272,Ther spi pnxr drg csf,T,5442,7.7364,$625.05,.,$125.01,,,
62273,Inject epidural patch,T,5442,7.7364,$625.05,.,$125.01,,,
62280,Treat spinal cord lesion,T,5443,10.0510,$812.05,.,$162.41,,,
62281,Treat spinal cord lesion,T,5443,10.0510,$812.05,.,$162.41,,,
62282,Treat spinal canal lesion,T,5443,10.0510,$812.05,.,$162.41,,,
62284,Injection for myelogram,N,,,,,,,,
62287,Percutaneous diskectomy,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
62290,Njx px discography lumbar,N,,,,,,,,
62291,Njx px discography crv/thrc,N,,,,,,,,
62292,Njx chemonucleolysis lmbr,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
62294,Injection into spinal artery,T,5443,10.0510,$812.05,.,$162.41,,,
62302,Myelography lumbar injection,Q2,5573,8.4267,$680.82,.,$136.17,,,
62303,Myelography lumbar injection,Q2,5573,8.4267,$680.82,.,$136.17,,,
62304,Myelography lumbar injection,Q2,5573,8.4267,$680.82,.,$136.17,,,
62305,Myelography lumbar injection,Q2,5573,8.4267,$680.82,.,$136.17,,,
62320,Njx interlaminar crv/thrc,T,5442,7.7364,$625.05,.,$125.01,,,
62321,Njx interlaminar crv/thrc,T,5442,7.7364,$625.05,.,$125.01,,,
62322,Njx interlaminar lmbr/sac,T,5442,7.7364,$625.05,.,$125.01,,,
62323,Njx interlaminar lmbr/sac,T,5442,7.7364,$625.05,.,$125.01,,,
62324,Njx interlaminar crv/thrc,T,5443,10.0510,$812.05,.,$162.41,,,
62325,Njx interlaminar crv/thrc,T,5443,10.0510,$812.05,.,$162.41,,,
62326,Njx interlaminar lmbr/sac,T,5443,10.0510,$812.05,.,$162.41,,,
62327,Njx interlaminar lmbr/sac,T,5443,10.0510,$812.05,.,$162.41,,,
62328,Dx lmbr spi pnxr w/fluor/ct,T,5442,7.7364,$625.05,.,$125.01,,,
62329,Ther spi pnxr csf fluor/ct,T,5442,7.7364,$625.05,.,$125.01,,,
62350,Implant spinal canal cath,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
62351,Implant spinal canal cath,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
62355,Remove spinal canal catheter,Q2,5431,21.2809,"$1,719.35",.,$343.87,,,
62360,Insert spine infusion device,J1,5471,204.4291,"$16,516.44",.,"$3,303.29",*,,
62361,Implant spine infusion pump,J1,5471,204.4291,"$16,516.44",.,"$3,303.29",*,,
62362,Implant spine infusion pump,J1,5471,204.4291,"$16,516.44",.,"$3,303.29",*,,
62365,Remove spine infusion device,Q2,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
62367,Analyze spine infus pump,S,5743,3.3531,$270.91,.,$54.19,,,
62368,Analyze sp inf pump w/reprog,S,5743,3.3531,$270.91,.,$54.19,,,
62369,Anal sp inf pmp w/reprg&fill,S,5743,3.3531,$270.91,.,$54.19,,,
62370,Anl sp inf pmp w/mdreprg&fil,S,5743,3.3531,$270.91,.,$54.19,,,
62380,Ndsc dcmprn 1 ntrspc lumbar,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63001,Remove spine lamina 1/2 crvl,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63003,Remove spine lamina 1/2 thrc,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63005,Remove spine lamina 1/2 lmbr,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63011,Remove spine lamina 1/2 scrl,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63012,Remove lamina/facets lumbar,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63015,Remove spine lamina >2 crvcl,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63016,Remove spine lamina >2 thrc,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63017,Remove spine lamina >2 lmbr,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63020,Neck spine disk surgery,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63030,Low back disk surgery,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63035,Spinal disk surgery add-on,N,,,,,,,,
63040,Laminotomy single cervical,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63042,Laminotomy single lumbar,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63043,Laminotomy addl cervical,N,,,,,,,,
63044,Laminotomy addl lumbar,N,,,,,,,,
63045,Remove spine lamina 1 crvl,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63046,Remove spine lamina 1 thrc,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63047,Remove spine lamina 1 lmbr,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63048,Remove spinal lamina add-on,N,,,,,,,,
63050,Cervical laminoplsty 2/> seg,C,,,,,,,,
63051,C-laminoplasty w/graft/plate,C,,,,,,,,
63055,Decompress spinal cord thrc,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63056,Decompress spinal cord lmbr,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63057,Decompress spine cord add-on,N,,,,,,,,
63064,Decompress spinal cord thrc,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63066,Decompress spine cord add-on,N,,,,,,,,
63075,Neck spine disk surgery,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63076,Neck spine disk surgery,N,,,,,,,,
63077,Spine disk surgery thorax,C,,,,,,,,
63078,Spine disk surgery thorax,C,,,,,,,,
63081,Remove vert body dcmprn crvl,C,,,,,,,,
63082,Remove vertebral body add-on,C,,,,,,,,
63085,Remove vert body dcmprn thrc,C,,,,,,,,
63086,Remove vertebral body add-on,C,,,,,,,,
63087,Remov vertbr dcmprn thrclmbr,C,,,,,,,,
63088,Remove vertebral body add-on,C,,,,,,,,
63090,Remove vert body dcmprn lmbr,C,,,,,,,,
63091,Remove vertebral body add-on,C,,,,,,,,
63101,Remove vert body dcmprn thrc,C,,,,,,,,
63102,Remove vert body dcmprn lmbr,C,,,,,,,,
63103,Remove vertebral body add-on,C,,,,,,,,
63170,Incise spinal cord tract(s),C,,,,,,,,
63172,Drainage of spinal cyst,C,,,,,,,,
63173,Drainage of spinal cyst,C,,,,,,,,
63180,Revise spinal cord ligaments,C,,,,,,,,
63182,Revise spinal cord ligaments,C,,,,,,,,
63185,Incise spine nrv half segmnt,C,,,,,,,,
63190,Incise spine nrv >2 segmnts,C,,,,,,,,
63191,Incise spine accessory nerve,C,,,,,,,,
63194,Incise spine & cord cervical,C,,,,,,,,
63195,Incise spine & cord thoracic,C,,,,,,,,
63196,Incise spine&cord 2 trx crvl,C,,,,,,,,
63197,Incise spine&cord 2 trx thrc,C,,,,,,,,
63198,Incise spin&cord 2 stgs crvl,C,,,,,,,,
63199,Incise spin&cord 2 stgs thrc,C,,,,,,,,
63200,Release spinal cord lumbar,C,,,,,,,,
63250,Revise spinal cord vsls crvl,C,,,,,,,,
63251,Revise spinal cord vsls thrc,C,,,,,,,,
63252,Revise spine cord vsl thrlmb,C,,,,,,,,
63265,Excise intraspinl lesion crv,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63266,Excise intrspinl lesion thrc,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63267,Excise intrspinl lesion lmbr,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63268,Excise intrspinl lesion scrl,J1,5114,74.0404,"$5,981.95",.,"$1,196.39",,,
63270,Excise intrspinl lesion crvl,C,,,,,,,,
63271,Excise intrspinl lesion thrc,C,,,,,,,,
63272,Excise intrspinl lesion lmbr,C,,,,,,,,
63273,Excise intrspinl lesion scrl,C,,,,,,,,
63275,Bx/exc xdrl spine lesn crvl,C,,,,,,,,
63276,Bx/exc xdrl spine lesn thrc,C,,,,,,,,
63277,Bx/exc xdrl spine lesn lmbr,C,,,,,,,,
63278,Bx/exc xdrl spine lesn scrl,C,,,,,,,,
63280,Bx/exc idrl spine lesn crvl,C,,,,,,,,
63281,Bx/exc idrl spine lesn thrc,C,,,,,,,,
63282,Bx/exc idrl spine lesn lmbr,C,,,,,,,,
63283,Bx/exc idrl spine lesn scrl,C,,,,,,,,
63285,Bx/exc idrl imed lesn cervl,C,,,,,,,,
63286,Bx/exc idrl imed lesn thrc,C,,,,,,,,
63287,Bx/exc idrl imed lesn thrlmb,C,,,,,,,,
63290,Bx/exc xdrl/idrl lsn any lvl,C,,,,,,,,
63295,Repair laminectomy defect,C,,,,,,,,
63300,Remove vert xdrl body crvcl,C,,,,,,,,
63301,Remove vert xdrl body thrc,C,,,,,,,,
63302,Remove vert xdrl body thrlmb,C,,,,,,,,
63303,Remov vert xdrl bdy lmbr/sac,C,,,,,,,,
63304,Remove vert idrl body crvcl,C,,,,,,,,
63305,Remove vert idrl body thrc,C,,,,,,,,
63306,Remov vert idrl bdy thrclmbr,C,,,,,,,,
63307,Remov vert idrl bdy lmbr/sac,C,,,,,,,,
63308,Remove vertebral body add-on,C,,,,,,,,
63600,Remove spinal cord lesion,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
63610,Stimulation of spinal cord,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
63620,Srs spinal lesion,B,,,,,,,,
63621,Srs spinal lesion addl,B,,,,,,,,
63650,Implant neuroelectrodes,J1,5462,76.5800,"$6,187.13",.,"$1,237.43",,,
63655,Implant neuroelectrodes,J1,5463,238.6273,"$19,279.42",.,"$3,855.89",*,,
63661,Remove spine eltrd perq aray,Q2,5431,21.2809,"$1,719.35",.,$343.87,,,
63662,Remove spine eltrd plate,J1,5461,38.9699,"$3,148.50",.,$629.70,,,
63663,Revise spine eltrd perq aray,J1,5462,76.5800,"$6,187.13",.,"$1,237.43",,,
63664,Revise spine eltrd plate,J1,5463,238.6273,"$19,279.42",.,"$3,855.89",*,,
63685,Insrt/redo spine n generator,J1,5464,360.4117,"$29,118.74",.,"$5,823.75",*,,
63688,Revise/remove neuroreceiver,J1,5461,38.9699,"$3,148.50",.,$629.70,,,
63700,Repair of spinal herniation,C,,,,,,,,
63702,Repair of spinal herniation,C,,,,,,,,
63704,Repair of spinal herniation,C,,,,,,,,
63706,Repair of spinal herniation,C,,,,,,,,
63707,Repair spinal fluid leakage,C,,,,,,,,
63709,Repair spinal fluid leakage,C,,,,,,,,
63710,Graft repair of spine defect,C,,,,,,,,
63740,Install spinal shunt,C,,,,,,,,
63741,Install spinal shunt,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
63744,Revision of spinal shunt,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
63746,Removal of spinal shunt,Q2,5431,21.2809,"$1,719.35",.,$343.87,,,
64400,Njx aa&/strd trigeminal nrv,T,5441,3.2400,$261.77,.,$52.36,,,
64405,Njx aa&/strd gr ocpl nrv,T,5441,3.2400,$261.77,.,$52.36,,,
64408,Njx aa&/strd vagus nrv,T,5441,3.2400,$261.77,.,$52.36,,,
64415,Njx aa&/strd brach plexus,T,5443,10.0510,$812.05,.,$162.41,,,
64416,Njx aa&/strd brach plex nfs,T,5443,10.0510,$812.05,.,$162.41,,,
64417,Njx aa&/strd axillary nrv,T,5443,10.0510,$812.05,.,$162.41,,,
64418,Njx aa&/strd sprscap nrv,T,5442,7.7364,$625.05,.,$125.01,,,
64420,Njx aa&/strd ntrcost nrv 1,T,5442,7.7364,$625.05,.,$125.01,,,
64421,Njx aa&/strd ntrcost nrv ea,T,5443,10.0510,$812.05,.,$162.41,,,
64425,Njx aa&/strd ii ih nerves,T,5442,7.7364,$625.05,.,$125.01,,,
64430,Njx aa&/strd pudendal nerve,T,5443,10.0510,$812.05,.,$162.41,,,
64435,Njx aa&/strd paracrv nrv,T,5442,7.7364,$625.05,.,$125.01,,,
64445,Njx aa&/strd sciatic nerve,T,5442,7.7364,$625.05,.,$125.01,,,
64446,Njx aa&/strd sciatic nrv nfs,T,5443,10.0510,$812.05,.,$162.41,,,
64447,Njx aa&/strd femoral nerve,T,5442,7.7364,$625.05,.,$125.01,,,
64448,Njx aa&/strd fem nerve nfs,T,5443,10.0510,$812.05,.,$162.41,,,
64449,Njx aa&/strd lmbr plex nfs,T,5443,10.0510,$812.05,.,$162.41,,,
64450,Njx aa&/strd other pn/branch,T,5442,7.7364,$625.05,.,$125.01,,,
64451,Njx aa&/strd nrv nrvtg si jt,T,5442,7.7364,$625.05,.,$125.01,,,
64454,Njx aa&/strd gnclr nrv brnch,T,5442,7.7364,$625.05,.,$125.01,,,
64455,N block inj plantar digit,T,5441,3.2400,$261.77,.,$52.36,,,
64461,Pvb thoracic single inj site,T,5442,7.7364,$625.05,.,$125.01,,,
64462,Pvb thoracic 2nd+ inj site,N,,,,,,,,
64463,Pvb thoracic cont infusion,T,5442,7.7364,$625.05,.,$125.01,,,
64479,Inj foramen epidural c/t,T,5443,10.0510,$812.05,.,$162.41,,,
64480,Inj foramen epidural add-on,N,,,,,,,,
64483,Inj foramen epidural l/s,T,5443,10.0510,$812.05,.,$162.41,,,
64484,Inj foramen epidural add-on,N,,,,,,,,
64486,Tap block unil by injection,N,,,,,,,,
64487,Tap block uni by infusion,N,,,,,,,,
64488,Tap block bi injection,N,,,,,,,,
64489,Tap block bi by infusion,N,,,,,,,,
64490,Inj paravert f jnt c/t 1 lev,T,5443,10.0510,$812.05,.,$162.41,,,
64491,Inj paravert f jnt c/t 2 lev,N,,,,,,,,
64492,Inj paravert f jnt c/t 3 lev,N,,,,,,,,
64493,Inj paravert f jnt l/s 1 lev,T,5443,10.0510,$812.05,.,$162.41,,,
64494,Inj paravert f jnt l/s 2 lev,N,,,,,,,,
64495,Inj paravert f jnt l/s 3 lev,N,,,,,,,,
64505,N block spenopalatine gangl,T,5441,3.2400,$261.77,.,$52.36,,,
64510,N block stellate ganglion,T,5443,10.0510,$812.05,.,$162.41,,,
64517,N block inj hypogas plxs,T,5443,10.0510,$812.05,.,$162.41,,,
64520,N block lumbar/thoracic,T,5443,10.0510,$812.05,.,$162.41,,,
64530,N block inj celiac pelus,T,5443,10.0510,$812.05,.,$162.41,,,
64553,Implant neuroelectrodes,J1,5462,76.5800,"$6,187.13",.,"$1,237.43",,,
64555,Implant neuroelectrodes,J1,5462,76.5800,"$6,187.13",.,"$1,237.43",,,
64561,Implant neuroelectrodes,J1,5462,76.5800,"$6,187.13",.,"$1,237.43",,,
64566,Neuroeltrd stim post tibial,T,5441,3.2400,$261.77,.,$52.36,,,
64568,Inc for vagus n elect impl,J1,5464,360.4117,"$29,118.74",.,"$5,823.75",*,,
64569,Revise/repl vagus n eltrd,J1,5462,76.5800,"$6,187.13",.,"$1,237.43",,,
64570,Remove vagus n eltrd,Q2,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64575,Implant neuroelectrodes,J1,5463,238.6273,"$19,279.42",.,"$3,855.89",*,,
64580,Implant neuroelectrodes,J1,5463,238.6273,"$19,279.42",.,"$3,855.89",*,,
64581,Implant neuroelectrodes,J1,5462,76.5800,"$6,187.13",.,"$1,237.43",,,
64585,Revise/remove neuroelectrode,J1,5461,38.9699,"$3,148.50",.,$629.70,,,
64590,Insrt/redo pn/gastr stimul,J1,5463,238.6273,"$19,279.42",.,"$3,855.89",*,,
64595,Revise/rmv pn/gastr stimul,J1,5461,38.9699,"$3,148.50",.,$629.70,,,
64600,Injection treatment of nerve,T,5443,10.0510,$812.05,.,$162.41,,,
64605,Injection treatment of nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64610,Injection treatment of nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64611,Chemodenerv saliv glands,T,5441,3.2400,$261.77,.,$52.36,,,
64612,Destroy nerve face muscle,T,5441,3.2400,$261.77,.,$52.36,,,
64615,Chemodenerv musc migraine,T,5441,3.2400,$261.77,.,$52.36,,,
64616,Chemodenerv musc neck dyston,T,5441,3.2400,$261.77,.,$52.36,,,
64617,Chemodener muscle larynx emg,T,5441,3.2400,$261.77,.,$52.36,,,
64620,Injection treatment of nerve,T,5443,10.0510,$812.05,.,$162.41,,,
64624,Dstrj nulyt agt gnclr nrv,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64625,Rf abltj nrv nrvtg si jt,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64630,Injection treatment of nerve,T,5443,10.0510,$812.05,.,$162.41,,,
64632,N block inj common digit,T,5441,3.2400,$261.77,.,$52.36,,,
64633,Destroy cerv/thor facet jnt,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64634,Destroy c/th facet jnt addl,N,,,,,,,,
64635,Destroy lumb/sac facet jnt,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64636,Destroy l/s facet jnt addl,N,,,,,,,,
64640,Injection treatment of nerve,T,5443,10.0510,$812.05,.,$162.41,,,
64642,Chemodenerv 1 extremity 1-4,T,5442,7.7364,$625.05,.,$125.01,,,
64643,Chemodenerv 1 extrem 1-4 ea,N,,,,,,,,
64644,Chemodenerv 1 extrem 5/> mus,T,5442,7.7364,$625.05,.,$125.01,,,
64645,Chemodenerv 1 extrem 5/> ea,N,,,,,,,,
64646,Chemodenerv trunk musc 1-5,T,5442,7.7364,$625.05,.,$125.01,,,
64647,Chemodenerv trunk musc 6/>,T,5442,7.7364,$625.05,.,$125.01,,,
64650,Chemodenerv eccrine glands,T,5441,3.2400,$261.77,.,$52.36,,,
64653,Chemodenerv eccrine glands,T,5441,3.2400,$261.77,.,$52.36,,,
64680,Injection treatment of nerve,T,5443,10.0510,$812.05,.,$162.41,,,
64681,Injection treatment of nerve,T,5443,10.0510,$812.05,.,$162.41,,,
64702,Revise finger/toe nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64704,Revise hand/foot nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64708,Revise arm/leg nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64712,Revision of sciatic nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64713,Revision of arm nerve(s),J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64714,Revise low back nerve(s),J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64716,Revision of cranial nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64718,Revise ulnar nerve at elbow,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64719,Revise ulnar nerve at wrist,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64721,Carpal tunnel surgery,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64722,Relieve pressure on nerve(s),J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64726,Release foot/toe nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64727,Internal nerve revision,N,,,,,,,,
64732,Incision of brow nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64734,Incision of cheek nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64736,Incision of chin nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64738,Incision of jaw nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64740,Incision of tongue nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64742,Incision of facial nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64744,Incise nerve back of head,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64746,Incise diaphragm nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64755,Incision of stomach nerves,C,,,,,,,,
64760,Incision of vagus nerve,C,,,,,,,,
64763,Incise hip/thigh nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64766,Incise hip/thigh nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64771,Sever cranial nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64772,Incision of spinal nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64774,Remove skin nerve lesion,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64776,Remove digit nerve lesion,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64778,Digit nerve surgery add-on,N,,,,,,,,
64782,Remove limb nerve lesion,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64783,Limb nerve surgery add-on,N,,,,,,,,
64784,Remove nerve lesion,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64786,Remove sciatic nerve lesion,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64787,Implant nerve end,N,,,,,,,,
64788,Remove skin nerve lesion,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64790,Removal of nerve lesion,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64792,Removal of nerve lesion,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64795,Biopsy of nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64802,Sympathectomy cervical,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64804,Remove sympathetic nerves,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64809,Remove sympathetic nerves,C,,,,,,,,
64818,Remove sympathetic nerves,C,,,,,,,,
64820,Sympathectomy digital artery,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64821,Remove sympathetic nerves,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
64822,Remove sympathetic nerves,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
64823,Sympathectomy supfc palmar,J1,5113,33.8823,"$2,737.45",.,$547.49,,,
64831,Repair of digit nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64832,Repair nerve add-on,N,,,,,,,,
64834,Repair of hand or foot nerve,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64835,Repair of hand or foot nerve,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64836,Repair of hand or foot nerve,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64837,Repair nerve add-on,N,,,,,,,,
64840,Repair of leg nerve,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64856,Repair/transpose nerve,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64857,Repair arm/leg nerve,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64858,Repair sciatic nerve,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64859,Nerve surgery,N,,,,,,,,
64861,Repair of arm nerves,J1,5431,21.2809,"$1,719.35",.,$343.87,,,
64862,Repair of low back nerves,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64864,Repair of facial nerve,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64865,Repair of facial nerve,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64866,Fusion of facial/other nerve,C,,,,,,,,
64868,Fusion of facial/other nerve,C,,,,,,,,
64872,Subsequent repair of nerve,N,,,,,,,,
64874,Repair & revise nerve add-on,N,,,,,,,,
64876,Repair nerve/shorten bone,N,,,,,,,,
64885,Nerve graft head/neck </4 cm,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64886,Nerve graft head/neck >4 cm,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64890,Nerve graft hand/foot </4 cm,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64891,Nerve graft hand/foot >4 cm,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64892,Nerve graft arm/leg <4 cm,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64893,Nerve graft arm/leg >4 cm,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64895,Nerve graft hand/foot </4 cm,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64896,Nerve graft hand/foot >4 cm,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64897,Nerve graft arm/leg </4 cm,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64898,Nerve graft arm/leg >4 cm,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64901,Nerve graft add-on,N,,,,,,,,
64902,Nerve graft add-on,N,,,,,,,,
64905,Nerve pedicle transfer,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64907,Nerve pedicle transfer,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64910,Nerve repair w/allograft,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64911,Neurorraphy w/vein autograft,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64912,Nrv rpr w/nrv algrft 1st,J1,5432,68.1867,"$5,509.01",.,"$1,101.81",,,
64913,Nrv rpr w/nrv algrft ea addl,N,,,,,,,,
64999,Nervous system surgery,T,5441,3.2400,$261.77,.,$52.36,,,
65091,Revise eye,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65093,Revise eye with implant,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65101,Removal of eye,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65103,Remove eye/insert implant,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65105,Remove eye/attach implant,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65110,Removal of eye,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65112,Remove eye/revise socket,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65114,Remove eye/revise socket,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65125,Revise ocular implant,J1,5503,23.9526,"$1,935.20",.,$387.04,,,
65130,Insert ocular implant,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65135,Insert ocular implant,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65140,Attach ocular implant,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65150,Revise ocular implant,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65155,Reinsert ocular implant,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65175,Removal of ocular implant,J1,5504,38.7046,"$3,127.06",.,$625.42,,,
65205,Remove foreign body from eye,Q1,5734,1.3495,$109.03,.,$21.81,,,
65210,Remove foreign body from eye,Q1,5735,4.5003,$363.59,.,$72.72,,,
65220,Remove foreign body from eye,Q1,5735,4.5003,$363.59,.,$72.72,,,
65222,Remove foreign body from eye,Q1,5734,1.3495,$109.03,.,$21.81,,,
65235,Remove foreign body from eye,J1,5491,25.0252,"$2,021.86",.,$404.38,,,
